li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
6,4,11,4,0.9756,0.9712,0.9991,0.9720,0.0210
6,4,11,5,0.9633,0.9601,0.9955,0.9609,0.0405
6,4,11,6,0.9574,0.9522,0.9960,0.9557,0.0484
6,4,11,7,0.9679,0.9624,0.9993,0.9645,0.0310
6,4,11,8,0.3171,0.5652,0.9806,0.1526,0.0386
6,4,11,9,0.9567,0.9531,0.9957,0.9548,0.0476
6,4,11,10,0.9602,0.9738,1.0000,0.9519,0.0116
6,4,11,11,0.9546,0.9643,0.9995,0.9454,0.0110
6,5,0,0,0.8976,0.8750,0.9722,0.8810,0.0567
6,5,0,1,0.2035,0.2428,0.8927,0.0874,0.0383
6,5,0,2,0.8357,0.8342,0.9985,0.8013,0.0502
6,5,0,3,0.3144,0.3091,0.8801,0.1984,0.0233
6,5,0,4,0.5579,0.5177,0.9788,0.4602,0.0344
6,5,0,5,0.3388,0.3164,0.8461,0.2234,0.0206
6,5,0,6,0.8402,0.8242,0.9847,0.8079,0.0579
6,5,0,7,0.6977,0.6873,0.9923,0.6272,0.0583
6,5,0,8,0.6980,0.7306,0.9998,0.6293,0.0467
6,5,0,9,0.8812,0.8716,0.9778,0.8614,0.0616
6,5,0,10,0.8311,0.7969,0.9921,0.7983,0.0635
6,5,0,11,0.8944,0.8807,0.9757,0.8790,0.0600
6,5,1,0,0.7465,0.7152,0.9998,0.6903,0.0475
6,5,1,1,0.8846,0.8823,0.9978,0.8623,0.0490
6,5,1,2,0.8636,0.8660,0.9997,0.8359,0.0503
6,5,1,3,0.9387,0.9005,0.9862,0.9312,0.0432
6,5,1,4,0.9805,0.9795,0.9961,0.9784,0.0262
6,5,1,5,0.8883,0.8546,0.9998,0.8660,0.0376
6,5,1,6,0.9332,0.8918,0.9831,0.9203,0.0097
6,5,1,7,0.9803,0.9827,0.9989,0.9774,0.0222
6,5,1,8,0.9705,0.9714,0.9998,0.9659,0.0262
6,5,1,9,0.9911,0.9912,0.9983,0.9895,0.0073
6,5,1,10,0.2997,0.5295,0.9995,0.1233,0.0637
6,5,1,11,0.4520,0.3762,0.8760,0.3494,0.0235
6,5,2,0,0.8472,0.8128,0.9968,0.8155,0.0452
6,5,2,1,0.9933,0.9935,0.9996,0.9929,0.0160
6,5,2,2,0.5272,0.5336,0.9780,0.4314,0.0263
6,5,2,3,0.7715,0.7426,1.0000,0.7208,0.0537
6,5,2,4,0.8148,0.8369,0.9998,0.7765,0.0360
