li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
3,7,11,6,0.6325,0.6047,0.9257,0.5772,0.0735
3,7,11,7,0.6625,0.6497,0.9464,0.6027,0.0568
3,7,11,8,0.5073,0.7865,0.9983,0.3791,0.0085
3,7,11,9,0.6230,0.5972,0.9129,0.5680,0.0763
3,7,11,10,0.7458,0.7525,0.9991,0.6815,0.0177
3,7,11,11,0.7341,0.7464,0.9752,0.6747,0.0293
3,8,0,0,0.8287,0.8540,0.9933,0.7800,0.0226
3,8,0,1,0.3197,0.5285,0.9554,0.2079,0.0735
3,8,0,2,0.8305,0.8642,0.9781,0.7822,0.0205
3,8,0,3,0.3752,0.5641,0.9737,0.2570,0.0508
3,8,0,4,0.5706,0.7363,1.0000,0.4606,0.0134
3,8,0,5,0.3575,0.5781,0.9184,0.2353,0.0447
3,8,0,6,0.7902,0.8534,0.9564,0.7270,0.0222
3,8,0,7,0.8949,0.9195,0.9880,0.8645,0.0220
3,8,0,8,0.7927,0.8535,0.9924,0.7378,0.0148
3,8,0,9,0.8726,0.8811,0.9910,0.8356,0.0320
3,8,0,10,0.8196,0.8642,0.9870,0.7657,0.0269
3,8,0,11,0.8778,0.8886,0.9632,0.8418,0.0324
3,8,1,0,0.8928,0.9114,0.9996,0.8622,0.0220
3,8,1,1,0.9099,0.9111,0.9953,0.8854,0.0227
3,8,1,2,0.8726,0.8933,0.9908,0.8373,0.0230
3,8,1,3,0.8309,0.8320,0.9870,0.7830,0.0327
3,8,1,4,0.8394,0.8559,0.9991,0.7978,0.0367
3,8,1,5,0.8281,0.8572,0.9984,0.7826,0.0210
3,8,1,6,0.7437,0.7600,0.9964,0.6816,0.0300
3,8,1,7,0.8473,0.8614,0.9979,0.8064,0.0311
3,8,1,8,0.8209,0.8355,0.9703,0.7793,0.0333
3,8,1,9,0.7699,0.7903,0.9433,0.7240,0.0428
3,8,1,10,0.5499,0.7721,0.9960,0.4151,0.0294
3,8,1,11,0.4807,0.6024,0.9505,0.3704,0.0349
3,8,2,0,0.9102,0.9228,0.9694,0.8845,0.0223
3,8,2,1,0.7467,0.7524,0.9893,0.6980,0.0479
3,8,2,2,0.8338,0.8788,0.9953,0.7966,0.0268
3,8,2,3,0.7961,0.8391,0.9969,0.7447,0.0167
3,8,2,4,0.9157,0.9270,0.9930,0.8938,0.0092
3,8,2,5,0.9300,0.9324,0.9992,0.9109,0.0102
3,8,2,6,0.8202,0.8339,0.9557,0.7812,0.0366
3,8,2,7,0.8568,0.9048,0.9822,0.8139,0.0273
3,8,2,8,0.8183,0.8366,0.9802,0.7747,0.0243
3,8,2,9,0.7273,0.8492,0.9998,0.6564,0.0160
3,8,2,10,0.8685,0.9161,0.9882,0.8297,0.0289
3,8,2,11,0.7857,0.7927,0.9719,0.7413,0.0466
3,8,3,0,0.6869,0.6917,0.9234,0.6450,0.0782
3,8,3,1,0.7993,0.8166,0.9519,0.7580,0.0358
3,8,3,2,0.7584,0.7991,0.9986,0.6986,0.0169
3,8,3,3,0.8384,0.8610,0.9379,0.8073,0.0353
3,8,3,4,0.7050,0.7031,0.9328,0.6631,0.0744
3,8,3,5,0.7752,0.7891,0.9995,0.7245,0.0354
3,8,3,6,0.6863,0.8088,0.9992,0.6025,0.0176
3,8,3,7,0.8063,0.9068,0.9995,0.7538,0.0092
3,8,3,8,1.0000,1.0000,1.0000,1.0000,0.0000
3,8,3,9,0.8072,0.8256,0.9580,0.7629,0.0232
3,8,3,10,0.7792,0.8055,0.9391,0.7358,0.0426
3,8,3,11,0.8851,0.9224,0.9999,0.8537,0.0127
3,8,4,0,0.7560,0.7985,0.9099,0.7120,0.0474
3,8,4,1,0.8728,0.8616,0.9680,0.8461,0.0287
3,8,4,2,0.7474,0.7592,0.9673,0.7012,0.0535
3,8,4,3,0.7319,0.8039,0.9998,0.6624,0.0211
3,8,4,4,0.7447,0.7625,0.9857,0.6962,0.0488
3,8,4,5,0.7479,0.7697,0.9279,0.7031,0.0510
3,8,4,6,0.8196,0.8261,0.9903,0.7763,0.0340
3,8,4,7,0.6678,0.7484,0.9884,0.5858,0.0209
3,8,4,8,0.7477,0.7462,0.9455,0.7041,0.0571
3,8,4,9,0.8037,0.8197,0.9972,0.7548,0.0192
3,8,4,10,0.7142,0.7113,0.9388,0.6719,0.0699
3,8,4,11,0.6364,0.7583,0.9131,0.5875,0.0802
3,8,5,0,0.7005,0.7053,0.9318,0.6580,0.0739
3,8,5,1,0.6835,0.6816,0.9192,0.6431,0.0804
3,8,5,2,0.7765,0.7947,0.9668,0.7291,0.0324
3,8,5,3,0.8665,0.8794,0.9915,0.8279,0.0172
3,8,5,4,0.8781,0.8823,0.9786,0.8472,0.0123
3,8,5,5,0.6929,0.6971,0.9261,0.6516,0.0777
3,8,5,6,0.7334,0.7411,0.9322,0.6910,0.0614
3,8,5,7,0.8152,0.8632,0.9426,0.7781,0.0354
3,8,5,8,0.7404,0.7564,0.9419,0.6964,0.0575
3,8,5,9,0.7110,0.7132,0.9366,0.6683,0.0708
3,8,5,10,0.7380,0.8074,0.9866,0.6823,0.0369
3,8,5,11,0.7868,0.8001,0.9823,0.7418,0.0386
3,8,6,0,0.8140,0.8299,0.9996,0.7687,0.0206
3,8,6,1,0.7202,0.7277,0.9505,0.6725,0.0560
3,8,6,2,0.7401,0.7389,0.9412,0.6972,0.0627
3,8,6,3,0.7948,0.7883,0.9736,0.7508,0.0370
3,8,6,4,0.7922,0.8348,0.9943,0.7427,0.0251
3,8,6,5,0.7969,0.8015,0.9779,0.7538,0.0426
3,8,6,6,0.7354,0.7428,0.9490,0.6917,0.0603
3,8,6,7,0.7924,0.8325,0.9878,0.7447,0.0319
3,8,6,8,0.8259,0.8428,0.9674,0.7885,0.0312
3,8,6,9,0.6844,0.6817,0.9202,0.6440,0.0805
3,8,6,10,0.7003,0.6956,0.9297,0.6581,0.0748
3,8,6,11,0.8448,0.8644,0.9829,0.8097,0.0264
3,8,7,0,0.8147,0.8467,0.9475,0.7797,0.0396
3,8,7,1,0.6904,0.6915,0.9293,0.6482,0.0771
3,8,7,2,0.6834,0.6797,0.9180,0.6431,0.0807
3,8,7,3,0.8349,0.8562,1.0000,0.7944,0.0265
3,8,7,4,0.7522,0.7664,0.9556,0.7046,0.0403
3,8,7,5,0.7492,0.7477,0.9479,0.7070,0.0573
3,8,7,6,0.7299,0.7380,0.9627,0.6849,0.0600
3,8,7,7,0.7144,0.7079,0.9268,0.6725,0.0706
3,8,7,8,0.7963,0.8035,0.9616,0.7527,0.0338
3,8,7,9,0.7946,0.8014,0.9733,0.7548,0.0430
