token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
[PAD],haar,0.50,0.9909,17.429,0.1923,0.053,0.0091
is,haar,0.10,0.9999,35.479,0.0162,0.000,0.0001
is,haar,0.20,0.9986,25.505,0.0511,0.000,0.0014
is,haar,0.30,0.9953,20.307,0.0929,0.000,0.0047
is,haar,0.40,0.9878,16.154,0.1499,0.000,0.0122
is,haar,0.50,0.9764,13.313,0.2078,0.000,0.0236
queen,haar,0.10,0.9998,34.298,0.0237,0.000,0.0002
queen,haar,0.20,0.9983,24.641,0.0721,0.000,0.0017
queen,haar,0.30,0.9940,19.235,0.1344,0.000,0.0060
queen,haar,0.40,0.9850,15.272,0.2122,0.000,0.0150
queen,haar,0.50,0.9704,12.341,0.2973,0.000,0.0296
?,haar,0.10,0.9996,31.450,0.0259,0.000,0.0004
?,haar,0.20,0.9981,24.316,0.0590,0.000,0.0019
?,haar,0.30,0.9939,19.124,0.1072,0.000,0.0061
?,haar,0.40,0.9849,15.237,0.1677,0.000,0.0151
?,haar,0.50,0.9708,12.397,0.2325,0.000,0.0292
1,haar,0.10,0.9998,33.330,0.0223,0.000,0.0002
1,haar,0.20,0.9984,24.989,0.0582,0.000,0.0016
1,haar,0.30,0.9947,19.772,0.1062,0.000,0.0053
1,haar,0.40,0.9874,16.013,0.1637,0.000,0.0126
1,haar,0.50,0.9741,12.919,0.2337,0.000,0.0259
sad,haar,0.10,0.9998,34.871,0.0267,0.000,0.0002
sad,haar,0.20,0.9986,25.610,0.0777,0.000,0.0014
sad,haar,0.30,0.9954,20.358,0.1422,0.000,0.0046
sad,haar,0.40,0.9891,16.624,0.2186,0.000,0.0109
sad,haar,0.50,0.9776,13.543,0.3116,0.000,0.0224
",",haar,0.10,0.9999,36.385,0.0143,0.000,0.0001
",",haar,0.20,0.9992,28.111,0.0370,0.000,0.0008
",",haar,0.30,0.9973,22.608,0.0697,0.000,0.0027
",",haar,0.40,0.9931,18.606,0.1106,0.000,0.0069
",",haar,0.50,0.9867,15.776,0.1532,0.000,0.0133
100,haar,0.10,0.9999,35.597,0.0212,0.053,0.0001
100,haar,0.20,0.9992,27.967,0.0510,0.053,0.0008
100,haar,0.30,0.9969,22.102,0.1001,0.053,0.0031
100,haar,0.40,0.9922,18.094,0.1588,0.053,0.0078
100,haar,0.50,0.9837,14.895,0.2295,0.053,0.0163
thousand,haar,0.10,0.9998,34.826,0.0248,0.000,0.0002
thousand,haar,0.20,0.9987,25.724,0.0707,0.000,0.0013
thousand,haar,0.30,0.9951,20.099,0.1350,0.000,0.0049
thousand,haar,0.40,0.9881,16.267,0.2099,0.000,0.0119
thousand,haar,0.50,0.9757,13.190,0.2991,0.000,0.0243
man,haar,0.10,0.9998,35.193,0.0189,0.000,0.0002
man,haar,0.20,0.9987,25.812,0.0556,0.000,0.0013
man,haar,0.30,0.9953,20.287,0.1050,0.000,0.0047
man,haar,0.40,0.9891,16.653,0.1595,0.000,0.0109
man,haar,0.50,0.9745,12.986,0.2433,0.000,0.0255
city,haar,0.10,0.9997,32.175,0.0258,0.000,0.0003
city,haar,0.20,0.9977,23.375,0.0710,0.000,0.0023
city,haar,0.30,0.9932,18.687,0.1218,0.000,0.0068
city,haar,0.40,0.9838,14.919,0.1880,0.000,0.0162
city,haar,0.50,0.9680,12.014,0.2627,0.000,0.0320
read,haar,0.10,0.9999,36.360,0.0203,0.000,0.0001
read,haar,0.20,0.9988,26.319,0.0644,0.000,0.0012
read,haar,0.30,0.9956,20.545,0.1253,0.000,0.0044
read,haar,0.40,0.9888,16.505,0.1995,0.000,0.0112
read,haar,0.50,0.9757,13.192,0.2921,0.000,0.0243
the,haar,0.10,0.9999,37.075,0.0134,0.000,0.0001
the,haar,0.20,0.9991,27.275,0.0414,0.000,0.0009
the,haar,0.30,0.9970,22.153,0.0747,0.000,0.0030
the,haar,0.40,0.9930,18.538,0.1133,0.000,0.0070
the,haar,0.50,0.9859,15.530,0.1602,0.000,0.0141
it,haar,0.10,0.9998,33.666,0.0196,0.000,0.0002
it,haar,0.20,0.9986,25.573,0.0498,0.000,0.0014
it,haar,0.30,0.9954,20.405,0.0903,0.000,0.0046
it,haar,0.40,0.9888,16.526,0.1411,0.000,0.0112
it,haar,0.50,0.9774,13.497,0.2000,0.000,0.0226
king,haar,0.10,0.9999,35.516,0.0190,0.000,0.0001
king,haar,0.20,0.9985,25.306,0.0614,0.000,0.0015
king,haar,0.30,0.9950,19.979,0.1134,0.000,0.0050
king,haar,0.40,0.9865,15.719,0.1852,0.000,0.0135
king,haar,0.50,0.9724,12.645,0.2638,0.000,0.0276
ugly,haar,0.10,0.9999,35.230,0.0257,0.000,0.0001
ugly,haar,0.20,0.9989,26.629,0.0692,0.000,0.0011
ugly,haar,0.30,0.9960,21.012,0.1321,0.000,0.0040
ugly,haar,0.40,0.9904,17.204,0.2049,0.000,0.0096
ugly,haar,0.50,0.9811,14.272,0.2871,0.000,0.0189
computer,haar,0.10,0.9998,33.959,0.0238,0.000,0.0002
computer,haar,0.20,0.9985,25.158,0.0656,0.000,0.0015
computer,haar,0.30,0.9952,20.217,0.1159,0.000,0.0048
computer,haar,0.40,0.9878,16.157,0.1849,0.000,0.0122
computer,haar,0.50,0.9751,13.078,0.2636,0.053,0.0249
apple,haar,0.10,0.9998,34.652,0.0263,0.000,0.0002
apple,haar,0.20,0.9986,25.468,0.0756,0.000,0.0014
apple,haar,0.30,0.9948,19.823,0.1447,0.000,0.0052
apple,haar,0.40,0.9878,16.153,0.2209,0.000,0.0122
apple,haar,0.50,0.9751,13.078,0.3147,0.000,0.0249
language,haar,0.10,0.9999,36.914,0.0172,0.000,0.0001
language,haar,0.20,0.9987,25.960,0.0608,0.000,0.0013
language,haar,0.30,0.9945,19.579,0.1268,0.000,0.0055
language,haar,0.40,0.9858,15.493,0.2030,0.000,0.0142
language,haar,0.50,0.9726,12.669,0.2809,0.000,0.0274
orange,haar,0.10,0.9998,34.047,0.0266,0.000,0.0002
orange,haar,0.20,0.9983,24.786,0.0771,0.000,0.0017
orange,haar,0.30,0.9947,19.719,0.1382,0.000,0.0053
orange,haar,0.40,0.9876,16.080,0.2102,0.000,0.0124
orange,haar,0.50,0.9763,13.296,0.2895,0.000,0.0237
for,haar,0.10,0.9999,35.639,0.0162,0.000,0.0001
for,haar,0.20,0.9989,26.729,0.0451,0.000,0.0011
for,haar,0.30,0.9964,21.379,0.0835,0.000,0.0036
for,haar,0.40,0.9901,17.065,0.1372,0.000,0.0099
for,haar,0.50,0.9792,13.852,0.1986,0.000,0.0208
write,haar,0.10,0.9998,34.957,0.0232,0.053,0.0002
write,haar,0.20,0.9985,25.306,0.0703,0.053,0.0015
write,haar,0.30,0.9953,20.264,0.1257,0.053,0.0047
write,haar,0.40,0.9886,16.448,0.1950,0.053,0.0114
write,haar,0.50,0.9769,13.400,0.2770,0.053,0.0231
woman,haar,0.10,0.9998,34.596,0.0203,0.000,0.0002
woman,haar,0.20,0.9984,25.004,0.0613,0.000,0.0016
woman,haar,0.30,0.9948,19.868,0.1107,0.000,0.0052
woman,haar,0.40,0.9865,15.721,0.1784,0.000,0.0135
woman,haar,0.50,0.9728,12.698,0.2526,0.000,0.0272
tall,haar,0.10,0.9998,34.166,0.0260,0.000,0.0002
tall,haar,0.20,0.9987,25.847,0.0678,0.000,0.0013
tall,haar,0.30,0.9949,19.947,0.1338,0.000,0.0051
tall,haar,0.40,0.9878,16.142,0.2073,0.000,0.0122
tall,haar,0.50,0.9758,13.199,0.2909,0.000,0.0242
