model,sentence_id,wavelet,snapshot,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,reconstruction_error_30pct,compression_ratio_99
distilbert,8,db4,distilbert_08_They_will_ship_the_packages_to,8.0965,4.29683,3.79967,1.31026,6.8028,0.0,0.65689,0.03896,2.72528
distilbert,8,haar,distilbert_08_They_will_ship_the_packages_to,8.09649,6.50211,1.59439,6.56246,6.35706,1.5016,0.7275,0.02997,4.29409
distilbert,8,sym4,distilbert_08_They_will_ship_the_packages_to,8.0965,4.94435,3.15215,1.899,6.77695,0.0,0.65752,0.04178,2.7271
distilbert,9,coif2,distilbert_09_The_scientist_who_discovered_t,7.77829,4.83376,2.94453,1.97951,6.83062,0.0,0.64622,0.04696,2.60755
distilbert,9,db4,distilbert_09_The_scientist_who_discovered_t,7.77828,4.16536,3.61293,1.37559,6.8421,0.0,0.64759,0.04233,2.64197
distilbert,9,haar,distilbert_09_The_scientist_who_discovered_t,7.77828,6.28571,1.49257,7.5724,6.42786,1.48629,0.71537,0.03184,4.00821
distilbert,9,sym4,distilbert_09_The_scientist_who_discovered_t,7.77829,4.76421,3.01408,1.89477,6.8224,0.0,0.64856,0.0457,2.64714
distilbert,10,coif2,distilbert_10_In_1969_three_astronauts_flew,7.36107,3.39908,3.96199,1.15167,6.81552,0.0,0.65501,0.04441,2.63759
distilbert,10,db4,distilbert_10_In_1969_three_astronauts_flew,7.36107,3.85555,3.50552,1.27259,6.801,0.0,0.65899,0.03936,2.69172
distilbert,10,haar,distilbert_10_In_1969_three_astronauts_flew,7.36107,6.13679,1.22427,6.67998,6.41988,1.48013,0.72091,0.0332,4.01275
distilbert,10,sym4,distilbert_10_In_1969_three_astronauts_flew,7.36107,3.44636,3.91471,1.17355,6.80795,0.0,0.65662,0.04301,2.68983
distilbert,11,coif2,distilbert_11_Why_did_the_quiet_student_answ,7.85689,4.94353,2.91336,2.00253,6.7651,0.0,0.6592,0.04343,2.63979
distilbert,11,db4,distilbert_11_Why_did_the_quiet_student_answ,7.85689,3.91914,3.93776,1.16097,6.75176,0.0,0.66638,0.03801,2.80856
distilbert,11,haar,distilbert_11_Why_did_the_quiet_student_answ,7.85689,6.71253,1.14436,7.6,6.34663,1.48476,0.7292,0.02986,4.43767
distilbert,11,sym4,distilbert_11_Why_did_the_quiet_student_answ,7.85689,4.85738,2.99952,1.90634,6.73532,0.0,0.66637,0.04131,2.78206
gpt2,0,coif2,gpt2_00_The_bank_approved_the_loan_for,10.96555,4.60802,6.35754,0.8464,6.25495,0.0,0.75527,0.01852,4.425
gpt2,0,db4,gpt2_00_The_bank_approved_the_loan_for,10.96555,6.15168,4.81387,1.44665,6.22656,0.0,0.75891,0.01523,4.64125
gpt2,0,haar,gpt2_00_The_bank_approved_the_loan_for,10.96555,8.77951,2.18604,4.04862,5.66917,1.69976,0.81942,0.0,7.8016
gpt2,0,sym4,gpt2_00_The_bank_approved_the_loan_for,10.96555,4.71459,6.25096,0.87544,6.22663,0.0,0.7594,0.0179,4.62776
gpt2,1,coif2,gpt2_01_The_fisher_sat_on_the_bank_of_,11.1047,4.68413,6.42056,0.86705,6.21639,0.0,0.76148,0.01822,4.59922
gpt2,1,db4,gpt2_01_The_fisher_sat_on_the_bank_of_,11.1047,6.16475,4.93995,1.41805,6.20701,0.0,0.76245,0.01536,4.68916
gpt2,1,haar,gpt2_01_The_fisher_sat_on_the_bank_of_,11.1047,8.79976,2.30494,3.83838,5.61654,1.70677,0.82768,0.0,7.90541
gpt2,1,sym4,gpt2_01_The_fisher_sat_on_the_bank_of_,11.1047,4.78185,6.32284,0.89213,6.18179,0.0,0.76663,0.01734,4.83077
gpt2,2,coif2,gpt2_02_She_opened_her_book_and_starte,11.68527,7.85516,3.8301,2.3844,6.25861,0.0,0.75049,0.01859,4.36152
gpt2,2,db4,gpt2_02_She_opened_her_book_and_starte,11.68527,6.34866,5.33661,1.37549,6.20649,0.0,0.76097,0.01533,4.76359
gpt2,2,haar,gpt2_02_She_opened_her_book_and_starte,11.68527,9.59223,2.09303,4.61525,5.67024,1.66764,0.81635,0.0,7.89844
gpt2,2,sym4,gpt2_02_She_opened_her_book_and_starte,11.68527,7.72837,3.9569,2.2608,6.21672,0.0,0.7569,0.01719,4.57683
gpt2,3,coif2,gpt2_03_The_young_boy_kicked_the_red_b,11.44478,4.64336,6.80142,0.79625,6.24909,0.0,0.75352,0.01911,4.59335
gpt2,3,db4,gpt2_03_The_young_boy_kicked_the_red_b,11.44478,6.25398,5.1908,1.36015,6.23201,0.0,0.75689,0.01643,4.69815
gpt2,3,haar,gpt2_03_The_young_boy_kicked_the_red_b,11.44478,9.2839,2.16088,4.36064,5.62991,1.67664,0.82339,0.0,8.07264
gpt2,3,sym4,gpt2_03_The_young_boy_kicked_the_red_b,11.44478,4.76186,6.68292,0.82563,6.20873,0.0,0.7596,0.01806,4.83285
gpt2,4,coif2,gpt2_04_The_judge_read_the_brief_and_d,11.06572,4.71774,6.34798,0.89138,6.27625,0.0,0.75223,0.01975,4.33406
gpt2,4,db4,gpt2_04_The_judge_read_the_brief_and_d,11.06572,6.28939,4.77633,1.51806,6.24236,0.0,0.75618,0.01558,4.57297
gpt2,4,haar,gpt2_04_The_judge_read_the_brief_and_d,11.06572,8.78722,2.2785,3.89934,5.6748,1.71382,0.82041,0.0,7.71305
gpt2,4,sym4,gpt2_04_The_judge_read_the_brief_and_d,11.06572,4.82476,6.24096,0.92096,6.24144,0.0,0.75754,0.01905,4.57487
gpt2,5,coif2,gpt2_05_The_plant_near_the_window_need,11.30288,4.76529,6.53759,0.85847,6.26399,0.0,0.75331,0.01972,4.44046
gpt2,5,db4,gpt2_05_The_plant_near_the_window_need,11.30288,6.36874,4.93414,1.46532,6.23828,0.0,0.75587,0.01611,4.65936
gpt2,5,haar,gpt2_05_The_plant_near_the_window_need,11.30288,9.03687,2.26601,4.01056,5.66385,1.70191,0.81956,0.0,7.90944
gpt2,5,sym4,gpt2_05_The_plant_near_the_window_need,11.30288,4.87066,6.43222,0.88603,6.22465,0.0,0.75946,0.01883,4.71209
gpt2,6,coif2,gpt2_06_Workers_built_a_huge_plant_out,11.0956,4.61985,6.47576,0.84292,6.23086,0.0,0.75817,0.01931,4.62021
gpt2,6,db4,gpt2_06_Workers_built_a_huge_plant_out,11.0956,6.22729,4.86831,1.45545,6.21364,0.0,0.7595,0.01547,4.7864
gpt2,6,haar,gpt2_06_Workers_built_a_huge_plant_out,11.0956,8.90481,2.19079,4.07436,5.62322,1.70114,0.82384,0.0,8.3414
gpt2,6,sym4,gpt2_06_Workers_built_a_huge_plant_out,11.0956,4.72582,6.36978,0.87136,6.1954,0.0,0.76366,0.01794,4.88335
gpt2,7,coif2,gpt2_07_Although_the_storm_was_fierce,10.39587,7.04612,3.34975,2.38892,6.2072,0.0,0.76138,0.01797,4.50203
gpt2,7,db4,gpt2_07_Although_the_storm_was_fierce,10.39587,5.53472,4.86115,1.30289,6.20637,0.0,0.7636,0.01619,4.73493
gpt2,7,haar,gpt2_07_Although_the_storm_was_fierce,10.39587,8.25676,2.13911,3.82554,5.53817,1.70319,0.83982,0.0,8.21601
gpt2,7,sym4,gpt2_07_Although_the_storm_was_fierce,10.39587,6.91065,3.48522,2.23338,6.15795,0.0,0.76902,0.01663,4.75995
gpt2,8,coif2,gpt2_08_They_will_ship_the_packages_to,11.14503,4.67442,6.47061,0.85256,6.27199,0.0,0.75197,0.01943,4.4635
gpt2,8,db4,gpt2_08_They_will_ship_the_packages_to,11.14503,6.22992,4.91511,1.44635,6.26517,0.0,0.75224,0.01666,4.5562
gpt2,8,haar,gpt2_08_They_will_ship_the_packages_to,11.14503,8.94281,2.20221,4.08276,5.67636,1.69717,0.81803,0.0,7.84553
gpt2,8,sym4,gpt2_08_They_will_ship_the_packages_to,11.14503,4.77912,6.36591,0.88085,6.23904,0.0,0.75714,0.01855,4.68041
gpt2,9,coif2,gpt2_09_The_scientist_who_discovered_t,11.10395,4.6721,6.43186,0.87842,6.27134,0.0,0.75239,0.01896,4.38214
gpt2,9,db4,gpt2_09_The_scientist_who_discovered_t,11.10395,6.27195,4.832,1.50341,6.23155,0.0,0.7574,0.01555,4.63479
gpt2,9,haar,gpt2_09_The_scientist_who_discovered_t,11.10395,8.86612,2.23783,3.97504,5.64238,1.71093,0.8225,0.0,7.94207
gpt2,9,sym4,gpt2_09_The_scientist_who_discovered_t,11.10395,4.78195,6.322,0.90852,6.23416,0.0,0.75812,0.01807,4.64749
gpt2,10,coif2,gpt2_10_In_1969_three_astronauts_flew,10.5449,4.55746,5.98744,0.91027,6.24384,0.0,0.75887,0.01736,4.43972
gpt2,10,db4,gpt2_10_In_1969_three_astronauts_flew,10.5449,5.99662,4.54828,1.51477,6.22679,0.0,0.75983,0.01495,4.58591
gpt2,10,haar,gpt2_10_In_1969_three_astronauts_flew,10.5449,8.32529,2.2196,3.73582,5.63726,1.72732,0.82771,0.0,7.75329
gpt2,10,sym4,gpt2_10_In_1969_three_astronauts_flew,10.5449,4.6453,5.8996,0.93244,6.21511,0.0,0.76303,0.01673,4.64041
gpt2,11,coif2,gpt2_11_Why_did_the_quiet_student_answ,11.19615,4.70577,6.49038,0.85829,6.25908,0.0,0.75427,0.01863,4.40363
gpt2,11,db4,gpt2_11_Why_did_the_quiet_student_answ,11.19615,6.31614,4.88001,1.4823,6.20885,0.0,0.76211,0.01428,4.74451
gpt2,11,haar,gpt2_11_Why_did_the_quiet_student_answ,11.19615,8.96736,2.22879,4.03618,5.62942,1.70538,0.82527,0.0,8.13297
gpt2,11,sym4,gpt2_11_Why_did_the_quiet_student_answ,11.19615,4.8122,6.38395,0.88638,6.22109,0.0,0.76044,0.01757,4.68361
