li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
0,0,10,0,0.8273,0.8242,0.8835,0.8011,0.0581
0,0,10,1,0.7702,0.7298,0.8044,0.7462,0.0840
0,0,10,2,0.7674,0.7185,0.8033,0.7436,0.0857
0,0,10,3,0.7891,0.7622,0.8275,0.7624,0.0735
0,0,10,4,0.7915,0.7565,0.8324,0.7647,0.0725
0,0,10,5,0.8133,0.8166,0.8243,0.7830,0.0530
0,0,10,6,0.7750,0.7340,0.8169,0.7501,0.0807
0,0,10,7,0.8142,0.8040,0.8610,0.7882,0.0649
0,0,10,8,0.7598,0.7113,0.7988,0.7353,0.0866
0,0,10,9,0.8465,0.8490,0.8698,0.8187,0.0453
0,0,10,10,0.7648,0.7160,0.8017,0.7405,0.0854
0,0,10,11,0.7897,0.7759,0.8254,0.7603,0.0664
0,0,11,0,0.9283,0.9490,0.9917,0.9026,0.0114
0,0,11,1,0.7922,0.7550,0.8219,0.7664,0.0753
0,0,11,2,0.7812,0.7433,0.8194,0.7555,0.0783
0,0,11,3,0.8582,0.8664,0.9110,0.8285,0.0397
0,0,11,4,0.8142,0.7882,0.8502,0.7867,0.0640
0,0,11,5,0.7833,0.7502,0.8253,0.7566,0.0756
0,0,11,6,0.7714,0.7241,0.8058,0.7469,0.0838
0,0,11,7,0.8053,0.7794,0.8341,0.7789,0.0678
0,0,11,8,0.5222,0.7301,0.8816,0.3896,0.0285
0,0,11,9,0.7665,0.7187,0.8014,0.7422,0.0853
0,0,11,10,0.8509,0.8637,0.8982,0.8197,0.0413
0,0,11,11,0.8733,0.8733,0.8962,0.8472,0.0369
0,1,0,0,0.2942,0.4047,0.7805,0.1704,0.0875
0,1,0,1,1.0000,1.0000,1.0000,1.0000,0.0000
0,1,0,2,0.2597,0.3610,0.8962,0.1375,0.0778
0,1,0,3,0.9717,0.9843,0.9989,0.9689,0.0190
0,1,0,4,0.7438,0.7870,0.9754,0.7125,0.0652
0,1,0,5,0.9528,0.9792,0.9997,0.9479,0.0198
0,1,0,6,0.3313,0.4676,0.7589,0.2132,0.0914
0,1,0,7,0.4706,0.5701,0.8868,0.3859,0.0917
0,1,0,8,0.4566,0.4759,0.9249,0.3724,0.0771
0,1,0,9,0.3010,0.3874,0.8824,0.1812,0.0870
0,1,0,10,0.5455,0.6468,0.8804,0.4758,0.0895
0,1,0,11,0.4210,0.5059,0.8366,0.3228,0.0912
0,1,1,0,0.2923,0.4783,0.9589,0.1810,0.0748
0,1,1,1,0.3137,0.4061,0.9447,0.2037,0.0779
0,1,1,2,0.3748,0.4564,0.9472,0.2743,0.0836
0,1,1,3,0.3714,0.4518,0.8528,0.2687,0.0741
0,1,1,4,0.2728,0.3573,0.9245,0.1615,0.0626
0,1,1,5,0.3426,0.4612,0.9635,0.2469,0.0592
0,1,1,6,0.2556,0.4016,0.9519,0.1465,0.0575
0,1,1,7,0.2430,0.3132,0.9254,0.1225,0.0693
0,1,1,8,0.2366,0.2987,0.9670,0.1270,0.0534
0,1,1,9,0.1878,0.2525,0.9742,0.0781,0.0433
0,1,1,10,0.6371,0.6724,0.8985,0.5873,0.0935
0,1,1,11,0.9220,0.9530,0.9985,0.9142,0.0344
0,1,2,0,0.2836,0.4565,0.9153,0.1637,0.0824
0,1,2,1,0.1770,0.2393,0.9580,0.0705,0.0338
0,1,2,2,0.2789,0.5612,0.9836,0.1781,0.0552
0,1,2,3,0.2505,0.4855,0.9714,0.1332,0.0723
0,1,2,4,0.2076,0.3531,0.9828,0.0928,0.0610
0,1,2,5,0.3281,0.5113,0.9180,0.2197,0.0795
0,1,2,6,0.2215,0.2606,0.9731,0.1214,0.0359
0,1,2,7,0.5560,0.6274,0.8132,0.4882,0.0964
0,1,2,8,0.2618,0.3922,0.9461,0.1497,0.0670
0,1,2,9,0.3184,0.5404,0.8980,0.2081,0.0752
0,1,2,10,0.3872,0.4862,0.8600,0.2850,0.0879
0,1,2,11,0.2064,0.2744,0.9621,0.1015,0.0369
0,1,3,0,0.1299,0.1819,0.9659,0.0384,0.0030
0,1,3,1,0.2027,0.2765,0.9725,0.0974,0.0415
0,1,3,2,0.2779,0.5672,0.9738,0.1728,0.0623
0,1,3,3,0.1797,0.3818,0.9837,0.0738,0.0428
0,1,3,4,0.1094,0.1531,0.9642,0.0148,0.0033
0,1,3,5,0.2019,0.2739,0.9196,0.0869,0.0533
0,1,3,6,0.4172,0.5418,0.8501,0.3208,0.0893
