token,index,energy,entropy,info_score
iberal,16813,27.6907,9.5968,32.2122
oland,23573,27.5570,9.6067,32.2007
glas,14391,27.7744,9.5826,32.1925
aram,41158,27.6580,9.5938,32.1914
hirt,49756,27.8068,9.5779,32.1875
roup,3233,27.7242,9.5860,32.1874
ĠImmunity,46824,28.1636,9.5429,32.1873
cible,37369,27.6163,9.5960,32.1848
ittee,2979,27.8050,9.5765,32.1824
ixties,46550,27.7964,9.5764,32.1789
avid,8490,27.5987,9.5957,32.1780
fuck,31699,27.5419,9.5983,32.1676
pan,6839,27.5735,9.5925,32.1585
acles,9928,27.6496,9.5839,32.1552
ature,1300,27.6413,9.5830,32.1496
iency,6160,27.6026,9.5868,32.1493
olit,6212,27.3738,9.6094,32.1478
istration,33397,27.5588,9.5901,32.1457
fram,19298,27.4822,9.5973,32.1440
WAY,27285,27.7651,9.5655,32.1321
ĠSynd,19148,27.4533,9.5842,32.0903
Pixel,40809,27.2271,9.6067,32.0891
ĠChimera,38399,27.0553,9.6226,32.0834
MU,42422,27.3320,9.5925,32.0774
edu,15532,27.4794,9.5775,32.0769
mys,28744,27.3367,9.5916,32.0758
