token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
it,sym4,0.30,0.9949,19.918,0.0955,0.000,0.0051
it,sym4,0.40,0.9881,16.244,0.1457,0.000,0.0119
it,sym4,0.50,0.9743,12.954,0.2129,0.000,0.0257
king,sym4,0.10,0.9998,34.357,0.0217,0.000,0.0002
king,sym4,0.20,0.9982,24.537,0.0671,0.000,0.0018
king,sym4,0.30,0.9945,19.588,0.1186,0.000,0.0055
king,sym4,0.40,0.9870,15.878,0.1818,0.000,0.0130
king,sym4,0.50,0.9743,12.949,0.2547,0.000,0.0257
ugly,sym4,0.10,0.9999,36.720,0.0217,0.000,0.0001
ugly,sym4,0.20,0.9990,26.877,0.0673,0.000,0.0010
ugly,sym4,0.30,0.9966,21.730,0.1217,0.000,0.0034
ugly,sym4,0.40,0.9911,17.534,0.1972,0.000,0.0089
ugly,sym4,0.50,0.9812,14.282,0.2868,0.000,0.0188
computer,sym4,0.10,0.9998,35.151,0.0208,0.000,0.0002
computer,sym4,0.20,0.9985,25.233,0.0650,0.000,0.0015
computer,sym4,0.30,0.9949,19.947,0.1195,0.000,0.0051
computer,sym4,0.40,0.9866,15.745,0.1939,0.000,0.0134
computer,sym4,0.50,0.9732,12.769,0.2731,0.000,0.0268
apple,sym4,0.10,0.9998,33.885,0.0287,0.000,0.0002
apple,sym4,0.20,0.9981,24.311,0.0863,0.000,0.0019
apple,sym4,0.30,0.9951,20.119,0.1399,0.000,0.0049
apple,sym4,0.40,0.9875,16.052,0.2234,0.000,0.0125
apple,sym4,0.50,0.9755,13.149,0.3121,0.000,0.0245
language,sym4,0.10,0.9998,33.483,0.0256,0.000,0.0002
language,sym4,0.20,0.9984,24.986,0.0680,0.000,0.0016
language,sym4,0.30,0.9944,19.543,0.1273,0.000,0.0056
language,sym4,0.40,0.9869,15.854,0.1947,0.000,0.0131
language,sym4,0.50,0.9726,12.675,0.2807,0.000,0.0274
orange,sym4,0.10,0.9998,34.972,0.0239,0.000,0.0002
orange,sym4,0.20,0.9987,25.919,0.0677,0.000,0.0013
orange,sym4,0.30,0.9956,20.610,0.1247,0.000,0.0044
orange,sym4,0.40,0.9876,16.071,0.2104,0.000,0.0124
orange,sym4,0.50,0.9753,13.121,0.2955,0.000,0.0247
for,sym4,0.10,0.9999,36.676,0.0143,0.000,0.0001
for,sym4,0.20,0.9989,26.501,0.0463,0.000,0.0011
for,sym4,0.30,0.9965,21.579,0.0816,0.000,0.0035
for,sym4,0.40,0.9913,17.591,0.1291,0.000,0.0087
for,sym4,0.50,0.9825,14.594,0.1823,0.000,0.0175
write,sym4,0.10,0.9998,35.027,0.0230,0.053,0.0002
write,sym4,0.20,0.9987,25.734,0.0670,0.053,0.0013
write,sym4,0.30,0.9954,20.402,0.1237,0.000,0.0046
write,sym4,0.40,0.9886,16.436,0.1953,0.000,0.0114
write,sym4,0.50,0.9763,13.296,0.2803,0.000,0.0237
woman,sym4,0.10,0.9998,34.444,0.0207,0.000,0.0002
woman,sym4,0.20,0.9986,25.401,0.0585,0.053,0.0014
woman,sym4,0.30,0.9951,20.105,0.1077,0.053,0.0049
woman,sym4,0.40,0.9870,15.887,0.1750,0.000,0.0130
woman,sym4,0.50,0.9747,13.011,0.2437,0.000,0.0253
tall,sym4,0.10,0.9999,36.240,0.0205,0.000,0.0001
tall,sym4,0.20,0.9989,26.756,0.0611,0.000,0.0011
tall,sym4,0.30,0.9962,21.160,0.1163,0.000,0.0038
tall,sym4,0.40,0.9904,17.178,0.1840,0.000,0.0096
tall,sym4,0.50,0.9784,13.686,0.2751,0.000,0.0216
