li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
0,2,4,9,0.0659,0.2251,0.9902,-0.0321,0.0112
0,2,4,10,0.0866,0.2944,0.9953,-0.0963,0.0606
0,2,4,11,0.1063,0.3008,0.9956,-0.0562,0.0570
0,2,5,0,0.1628,0.3944,0.9259,-0.0105,0.0645
0,2,5,1,0.1875,0.3408,0.9302,0.0428,0.0533
0,2,5,2,0.1406,0.4503,0.8605,-0.0725,0.0741
0,2,5,3,0.1255,0.3650,0.9188,-0.0384,0.0546
0,2,5,4,0.1036,0.3157,0.9534,-0.0448,0.0484
0,2,5,5,0.1461,0.3738,0.9424,-0.0191,0.0603
0,2,5,6,0.1244,0.3255,0.9267,-0.0234,0.0480
0,2,5,7,0.0936,0.3366,0.9499,-0.0381,0.0370
0,2,5,8,0.1895,0.5638,0.9452,0.0211,0.0670
0,2,5,9,0.1358,0.3962,0.8559,-0.0818,0.0745
0,2,5,10,0.1341,0.3706,0.9247,-0.0285,0.0583
0,2,5,11,0.1136,0.3234,0.9489,-0.0165,0.0372
0,3,0,0,0.3844,0.5017,0.9002,0.0650,0.0674
0,3,0,1,0.3660,0.5816,0.9606,0.1773,0.0376
0,3,0,2,0.7568,0.8344,0.9499,0.7276,0.0379
0,3,0,3,1.0000,1.0000,1.0000,1.0000,0.0000
0,3,0,4,0.4890,0.5869,0.9997,0.3260,0.0538
0,3,0,5,0.2659,0.5925,0.9984,0.0523,0.0324
0,3,0,6,0.3425,0.5330,0.9988,0.1321,0.0409
0,3,0,7,0.2119,0.5140,0.9680,0.0180,0.0191
0,3,0,8,0.2301,0.5060,0.9987,0.0068,0.0307
0,3,0,9,0.2160,0.4786,0.9969,0.0433,0.0143
0,3,0,10,0.1678,0.5514,0.9102,0.0339,0.0241
0,3,0,11,0.4871,0.6745,0.9970,0.3499,0.0258
0,3,1,0,0.0986,0.5430,0.8869,-0.0159,0.0531
0,3,1,1,0.5683,0.6574,0.9973,0.4620,0.0212
0,3,1,2,0.3043,0.4752,0.9980,0.1225,0.0206
0,3,1,3,0.2721,0.4194,0.9869,0.0795,0.0238
0,3,1,4,0.3861,0.5595,0.9999,0.2626,0.0217
0,3,1,5,0.3163,0.4368,0.9602,0.0969,0.0363
0,3,1,6,0.1812,0.6167,0.9978,-0.0140,0.0199
0,3,1,7,0.3895,0.5243,0.9464,0.2204,0.0318
0,3,1,8,0.4387,0.5298,0.9997,0.3032,0.0252
0,3,1,9,0.0825,0.5443,0.8784,-0.0346,0.0529
0,3,1,10,0.2768,0.4903,0.9998,0.1185,0.0183
0,3,1,11,0.2565,0.4587,0.9987,0.0653,0.0235
0,3,2,0,0.2497,0.3391,0.9066,0.1026,0.0126
0,3,2,1,0.3360,0.4462,0.9984,0.1277,0.0461
0,3,2,2,0.3208,0.4235,0.9717,0.1551,0.0265
0,3,2,3,0.1709,0.2979,0.8984,0.0518,0.0386
0,3,2,4,0.3386,0.4220,0.9781,0.1391,0.0424
0,3,2,5,0.2505,0.4537,0.9056,0.1101,0.0115
0,3,2,6,0.3988,0.4762,0.9281,0.2744,0.0170
0,3,2,7,0.4590,0.4866,0.9210,0.3621,0.0128
0,3,2,8,0.2258,0.3240,0.9531,0.0573,0.0226
0,3,2,9,0.3031,0.4140,0.9685,0.1442,0.0181
0,3,2,10,0.5261,0.6106,0.9612,0.4139,0.0257
0,3,2,11,0.1988,0.3964,0.9063,0.0594,0.0162
0,3,3,0,0.3713,0.4711,0.9754,0.2123,0.0282
0,3,3,1,0.2022,0.2919,0.9059,0.0525,0.0177
0,3,3,2,0.1835,0.3061,0.9129,0.0504,0.0266
0,3,3,3,0.2543,0.3190,0.8996,0.1356,0.0296
0,3,3,4,0.6343,0.6915,0.9179,0.5705,0.0147
0,3,3,5,0.2964,0.4104,0.9162,0.1216,0.0272
0,3,3,6,0.1636,0.2490,0.9087,0.0492,0.0470
0,3,3,7,0.1785,0.2526,0.9052,0.0673,0.0475
0,3,3,8,0.2444,0.3484,0.9986,0.0629,0.0197
0,3,3,9,0.3504,0.3924,0.9364,0.2361,0.0210
0,3,3,10,0.1949,0.3931,0.8716,0.0518,0.0154
0,3,3,11,0.2431,0.3031,0.9228,0.1253,0.0308
0,3,4,0,0.2123,0.3601,0.8891,0.0717,0.0146
0,3,4,1,0.2167,0.3380,0.8949,0.0740,0.0161
0,3,4,2,0.2662,0.3804,0.9641,0.0754,0.0282
0,3,4,3,0.2228,0.3335,0.9264,0.0848,0.0223
0,3,4,4,0.1615,0.3142,0.9096,0.0047,0.0149
0,3,4,5,0.1354,0.3224,0.8947,-0.0401,0.0185
0,3,4,6,0.1711,0.2743,0.9150,0.0492,0.0386
0,3,4,7,0.2168,0.3448,0.8786,0.0731,0.0144
0,3,4,8,0.2005,0.4218,0.9836,-0.0205,0.0253
0,3,4,9,0.1918,0.2593,0.8970,0.0719,0.0410
0,3,4,10,0.1846,0.3039,0.9757,-0.0509,0.0321
